iter	Passed	Remaining
475	665	732
476	666	730
477	667	728
478	668	726
479	669	724
480	669	722
481	670	720
482	671	719
483	673	717
484	674	715
485	674	713
486	675	711
487	676	709
488	679	709
489	679	707
490	680	705
491	681	704
492	682	702
493	683	700
494	685	699
495	686	697
496	686	695
497	687	693
498	688	691
499	690	690
500	691	688
501	692	686
502	692	684
503	693	682
504	694	680
505	696	679
506	697	677
507	698	676
508	698	674
509	701	673
510	702	672
511	703	670
512	704	668
513	704	666
514	706	665
515	707	663
516	708	661
517	709	659
518	709	657
519	710	655
520	711	654
521	712	652
522	713	651
523	714	649
524	715	647
525	716	645
526	717	644
527	719	642
528	719	640
529	720	639
530	721	637
531	722	635
532	723	633
533	724	632
534	725	630
535	726	628
536	727	627
537	728	625
538	730	624
539	731	622
540	732	621
541	733	619
542	736	619
543	737	618
544	738	616
545	739	615
546	742	615
547	743	613
548	744	611
549	745	610
550	747	609
551	748	607
552	749	605
553	750	603
554	751	602
555	751	600
556	753	599
557	754	597
558	755	595
559	755	593
560	756	592
561	758	590
562	759	589
563	759	587
564	760	585
565	761	583
566	762	582
567	763	580
568	764	579
569	765	577
570	766	575
571	767	574
572	768	572
573	769	571
574	770	569
575	771	567
576	772	566
577	773	564
578	774	562
579	775	561
580	776	559
581	777	558
582	778	556
583	778	554
584	779	553
585	781	551
586	782	550
587	783	548
588	784	547
589	784	545
590	787	545
591	788	543
592	789	541
593	790	540
594	791	538
595	792	537
596	793	535
597	794	533
598	795	532
599	796	530
600	797	529
601	798	528
602	799	526
603	800	524
604	801	523
605	802	521
606	803	519
607	804	518
608	805	517
609	806	515
610	807	513
611	809	513
612	810	511
613	811	510
614	812	508
615	813	507
616	814	505
617	815	504
618	816	502
619	817	501
620	818	499
621	819	498
622	822	497
623	823	496
624	824	494
625	825	493
626	826	491
627	828	490
628	829	489
629	829	487
630	830	485
631	832	484
632	833	483
633	834	481
634	835	480
635	836	478
636	838	477
637	839	476
638	840	474
639	841	473
640	842	471
641	844	470
642	845	469
643	846	467
644	847	466
645	848	464
646	849	463
647	851	462
648	851	460
649	852	459
650	853	457
651	855	456
652	856	455
653	857	453
654	858	452
655	859	450
656	861	449
657	862	448
658	863	446
659	864	445
660	865	443
661	867	442
662	868	441
663	869	439
664	870	438
665	871	437
666	873	435
667	874	434
668	875	433
669	876	431
670	877	430
671	879	429
672	880	427
673	881	426
674	882	424
675	883	423
676	884	422
677	885	420
678	886	419
679	887	417
680	889	416
681	890	415
682	891	413
683	892	412
684	893	410
685	895	409
686	896	408
687	897	406
688	898	405
689	899	403
690	901	403
691	902	401
692	903	400
693	904	398
694	906	397
695	907	396
696	908	394
697	909	393
698	910	392
699	912	390
700	913	389
701	914	388
702	915	386
703	916	385
704	917	383
705	918	382
706	919	381
707	920	379
708	921	378
709	922	376
710	924	375
711	925	374
712	926	372
713	926	371
714	927	369
715	929	368
716	930	367
717	931	365
718	932	364
719	933	362
720	935	362
721	936	360
722	937	359
723	938	357
724	942	357
725	944	356
726	946	355
727	947	354
728	948	352
729	949	351
730	950	349
731	954	349
732	955	348
733	957	346
734	960	346
735	961	344
736	962	343
737	963	342
738	965	340
739	966	339
740	967	338
741	968	336
742	969	335
743	971	334
744	972	332
745	973	331
746	974	330
747	977	329
748	978	327
749	979	326
750	980	325
751	981	323
752	983	322
753	984	321
754	985	319
755	986	318
756	988	317
757	989	316
758	990	314
759	992	313
760	993	312
761	994	310
762	995	309
763	996	307
764	997	306
765	1000	305
766	1001	304
767	1002	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
773	1008	294
774	1009	293
775	1010	291
776	1012	290
777	1013	289
778	1014	287
779	1015	286
780	1016	285
781	1017	283
782	1018	282
783	1019	280
784	1020	279
785	1022	278
786	1023	277
787	1024	275
788	1026	274
789	1028	273
790	1029	272
791	1030	270
792	1031	269
793	1032	267
794	1033	266
795	1035	265
796	1036	264
797	1037	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	256
803	1045	254
804	1046	253
805	1047	252
806	1048	250
807	1049	249
808	1050	247
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1058	238
816	1059	237
817	1059	235
818	1060	234
819	1062	233
820	1063	231
821	1065	230
822	1066	229
823	1069	228
824	1070	227
825	1071	225
826	1072	224
827	1075	223
828	1076	221
829	1077	220
830	1078	219
831	1078	217
832	1080	216
833	1081	215
834	1082	213
835	1083	212
836	1084	211
837	1085	209
838	1087	208
839	1087	207
840	1088	205
841	1089	204
842	1090	203
843	1092	201
844	1093	200
845	1094	199
846	1095	197
847	1095	196
848	1097	195
849	1098	193
850	1099	192
851	1100	191
852	1101	189
853	1102	188
854	1104	187
855	1104	185
856	1105	184
857	1106	183
858	1108	182
859	1109	180
860	1110	179
861	1111	177
862	1112	176
863	1113	175
864	1114	173
865	1115	172
866	1116	171
867	1117	169
868	1118	168
869	1120	167
870	1121	166
871	1122	164
872	1123	163
873	1124	162
874	1126	160
875	1128	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1133	153
881	1133	151
882	1134	150
883	1135	149
884	1137	147
885	1138	146
886	1139	145
887	1140	143
888	1140	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1145	135
894	1146	134
895	1148	133
896	1149	131
897	1150	130
898	1150	129
899	1151	127
900	1153	126
901	1154	125
902	1155	124
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1168	104
918	1170	103
919	1172	101
920	1173	100
921	1173	99
922	1174	98
923	1175	96
924	1177	95
925	1178	94
926	1179	92
927	1180	91
928	1181	90
929	1182	89
930	1183	87
931	1184	86
932	1185	85
933	1188	84
934	1189	82
935	1190	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1196	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1201	67
947	1202	65
948	1202	64
949	1203	63
950	1205	62
951	1206	60
952	1207	59
953	1207	58
954	1208	56
955	1209	55
956	1211	54
957	1212	53
958	1213	51
959	1214	50
960	1215	49
961	1216	48
962	1217	46
963	1218	45
964	1219	44
965	1220	42
966	1221	41
967	1222	40
968	1223	39
969	1224	37
970	1225	36
971	1226	35
972	1228	34
973	1229	32
974	1230	31
975	1230	30
976	1233	29
977	1234	27
978	1235	26
979	1235	25
980	1236	23
981	1239	22
982	1240	21
983	1241	20
984	1242	18
985	1243	17
986	1244	16
987	1245	15
988	1246	13
989	1247	12
990	1248	11
991	1250	10
992	1251	8
993	1252	7
994	1253	6
995	1254	5
996	1255	3
997	1256	2
998	1257	1
999	1258	0
